Match,Red 1, Red 2, Red 3, Blue 1, Blue 2, Blue 3, Type, Tournament, Red Score, Blue Score
1,1,2,3,4,5,6, Seeding,Practice,-1,-1
2,7,8,2,6,3,1, Seeding,Practice,-1,-1
3,1,2,3,4,5,6, Seeding,Practice,-1,-1
4,7,8,2,6,3,1, Seeding,Practice,-1,-1
5,1,2,3,4,5,6, Seeding,Practice,-1,-1
6,7,8,2,6,3,1, Seeding,Practice,-1,-1
7,1,2,3,4,5,6, Seeding,Practice,-1,-1
8,1,2,3,4,5,6, Seeding,Practice,-1,-1
9,7,8,2,6,3,1, Seeding,Practice,-1,-1
10,1,2,3,4,5,6, Seeding,Practice,-1,-1
11,7,8,2,6,3,1, Seeding,Practice,-1,-1
12,1,2,3,4,5,6, Seeding,Practice,-1,-1
13,1,2,3,4,5,6, Seeding,Practice,-1,-1
14,7,8,2,6,3,1, Seeding,Practice,-1,-1
15,1,2,3,4,5,6, Seeding,Practice,-1,-1
16,7,8,2,6,3,1, Seeding,Practice,-1,-1
17,1,2,3,4,5,6, Seeding,Practice,-1,-1
18,1,2,3,4,5,6, Seeding,Practice,-1,-1
19,7,8,2,6,3,1, Seeding,Practice,-1,-1
20,1,2,3,4,5,6, Seeding,Practice,-1,-1
21,7,8,2,6,3,1, Seeding,Practice,-1,-1
22,1,2,3,4,5,6, Seeding,Practice,-1,-1
23,1,2,3,4,5,6, Seeding,Practice,-1,-1
24,7,8,2,6,3,1, Seeding,Practice,-1,-1
25,1,2,3,4,5,6, Seeding,Practice,-1,-1
26,7,8,2,6,3,1, Seeding,Practice,-1,-1
27,1,2,3,4,5,6, Seeding,Practice,-1,-1
28,1,2,3,4,5,6, Seeding,Practice,-1,-1
29,7,8,2,6,3,1, Seeding,Practice,-1,-1
30,1,2,3,4,5,6, Seeding,Practice,-1,-1
31,7,8,2,6,3,1, Seeding,Practice,-1,-1
32,1,2,3,4,5,6, Seeding,Practice,-1,-1
33,1,2,3,4,5,6, Seeding,Practice,-1,-1
34,7,8,2,6,3,1, Seeding,Practice,-1,-1
35,1,2,3,4,5,6, Seeding,Practice,-1,-1
36,7,8,2,6,3,1, Seeding,Practice,-1,-1
37,1,2,3,4,5,6, Seeding,Practice,-1,-1
38,1,2,3,4,5,6, Seeding,Practice,-1,-1
39,7,8,2,6,3,1, Seeding,Practice,-1,-1
40,1,2,3,4,5,6, Seeding,Practice,-1,-1
41,7,8,2,6,3,1, Seeding,Practice,-1,-1
42,1,2,3,4,5,6, Seeding,Practice,-1,-1
43,1,2,3,4,5,6, Seeding,Practice,-1,-1
44,7,8,2,6,3,1, Seeding,Practice,-1,-1
45,1,2,3,4,5,6, Seeding,Practice,-1,-1
46,7,8,2,6,3,1, Seeding,Practice,-1,-1
47,1,2,3,4,5,6, Seeding,Practice,-1,-1
48,1,2,3,4,5,6, Seeding,Practice,-1,-1
49,7,8,2,6,3,1, Seeding,Practice,-1,-1
50,1,2,3,4,5,6, Seeding,Practice,-1,-1
51,7,8,2,6,3,1, Seeding,Practice,-1,-1
52,1,2,3,4,5,6, Seeding,Practice,-1,-1
53,1,2,3,4,5,6, Seeding,Practice,-1,-1
54,7,8,2,6,3,1, Seeding,Practice,-1,-1
55,1,2,3,4,5,6, Seeding,Practice,-1,-1
56,7,8,2,6,3,1, Seeding,Practice,-1,-1
57,1,2,3,4,5,6, Seeding,Practice,-1,-1
58,1,2,3,4,5,6, Seeding,Practice,-1,-1
59,7,8,2,6,3,1, Seeding,Practice,-1,-1
60,1,2,3,4,5,6, Seeding,Practice,-1,-1
61,7,8,2,6,3,1, Seeding,Practice,-1,-1
62,1,2,3,4,5,6, Seeding,Practice,-1,-1
63,1,2,3,4,5,6, Seeding,Practice,-1,-1
64,1,2,3,4,5,6, Seeding,Practice,-1,-1
65,7,8,2,6,3,1, Seeding,Practice,-1,-1
66,1,2,3,4,5,6, Seeding,Practice,-1,-1
67,7,8,2,6,3,1, Seeding,Practice,-1,-1
