Match, Red 1, Red 2, Red 3, Blue 1, Blue 2, Blue 3, Red 4, Blue 4, Type, Tournament, Red Score, Blue Score
1, 57, 3310, 3676, 624, 3802, 3481, , , Qualification, Dallas Regional, -1, -1
2, 4499, 4300, 148, 647, 3370, 3735, , , Qualification, Dallas Regional, -1, -1
3, 457, 5242, 5411, 1296, 932, 1642, , , Qualification, Dallas Regional, -1, -1
4, 3355, 5417, 5786, 2468, 3350, 5682, , , Qualification, Dallas Regional, -1, -1
5, 4192, 2950, 704, 5212, 118, 4045, , , Qualification, Dallas Regional, -1, -1
6, 5775, 5057, 5739, 2897, 1477, 987, , , Qualification, Dallas Regional, -1, -1
7, 2848, 5431, 3005, 4076, 4206, 4641, , , Qualification, Dallas Regional, -1, -1
8, 3282, 4354, 2613, 4063, 3037, 4364, , , Qualification, Dallas Regional, -1, -1
9, 118, 1296, 647, 3350, 3802, 5786, , , Qualification, Dallas Regional, -1, -1
10, 3676, 624, 3735, 3355, 987, 5739, , , Qualification, Dallas Regional, -1, -1
11, 4499, 4206, 4045, 3481, 5417, 5411, , , Qualification, Dallas Regional, -1, -1
12, 4364, 4641, 932, 5057, 2613, 2950, , , Qualification, Dallas Regional, -1, -1
13, 2468, 5775, 1642, 5682, 3282, 57, , , Qualification, Dallas Regional, -1, -1
14, 3370, 1477, 5212, 457, 4354, 2848, , , Qualification, Dallas Regional, -1, -1
15, 5431, 148, 704, 3037, 4300, 4076, , , Qualification, Dallas Regional, -1, -1
16, 3005, 4063, 4192, 3310, 5242, 2897, , , Qualification, Dallas Regional, -1, -1
17, 3802, 1296, 2613, 3735, 3355, 5057, , , Qualification, Dallas Regional, -1, -1
18, 3350, 624, 3282, 4364, 2848, 5682, , , Qualification, Dallas Regional, -1, -1
19, 5775, 3481, 4076, 3037, 5212, 4641, , , Qualification, Dallas Regional, -1, -1
20, 5242, 57, 3005, 5431, 3370, 4499, , , Qualification, Dallas Regional, -1, -1
21, 2897, 4206, 5411, 2950, 987, 457, , , Qualification, Dallas Regional, -1, -1
22, 704, 1477, 2468, 3310, 4063, 647, , , Qualification, Dallas Regional, -1, -1
23, 5739, 4192, 1642, 4354, 118, 4300, , , Qualification, Dallas Regional, -1, -1
24, 5417, 148, 4045, 3676, 932, 5786, , , Qualification, Dallas Regional, -1, -1
25, 4364, 457, 5431, 4499, 2897, 3802, , , Qualification, Dallas Regional, -1, -1
26, 4063, 5411, 704, 5057, 3350, 3481, , , Qualification, Dallas Regional, -1, -1
27, 987, 4206, 2613, 57, 4300, 4192, , , Qualification, Dallas Regional, -1, -1
28, 3676, 2468, 5212, 3005, 3037, 3735, , , Qualification, Dallas Regional, -1, -1
29, 1642, 3370, 5417, 4641, 647, 624, , , Qualification, Dallas Regional, -1, -1
30, 2848, 118, 1477, 5242, 5682, 4045, , , Qualification, Dallas Regional, -1, -1
31, 3355, 5775, 3282, 3310, 932, 148, , , Qualification, Dallas Regional, -1, -1
32, 4354, 2950, 5739, 4076, 1296, 5786, , , Qualification, Dallas Regional, -1, -1
33, 5411, 57, 2468, 4364, 4192, 5212, , , Qualification, Dallas Regional, -1, -1
34, 987, 3676, 4641, 4499, 647, 1477, , , Qualification, Dallas Regional, -1, -1
35, 3735, 5682, 4300, 4045, 5057, 4063, , , Qualification, Dallas Regional, -1, -1
36, 5786, 2897, 3037, 5242, 2848, 624, , , Qualification, Dallas Regional, -1, -1
37, 2950, 1296, 5417, 5431, 1642, 3282, , , Qualification, Dallas Regional, -1, -1
38, 3802, 3355, 4354, 4206, 5775, 704, , , Qualification, Dallas Regional, -1, -1
39, 118, 932, 3350, 4076, 3370, 3310, , , Qualification, Dallas Regional, -1, -1
40, 148, 3481, 457, 3005, 2613, 5739, , , Qualification, Dallas Regional, -1, -1
41, 1642, 1477, 4300, 5242, 5786, 2468, , , Qualification, Dallas Regional, -1, -1
42, 2897, 5212, 1296, 3282, 4045, 987, , , Qualification, Dallas Regional, -1, -1
43, 647, 932, 5057, 4206, 3037, 2848, , , Qualification, Dallas Regional, -1, -1
44, 3310, 3735, 5739, 5431, 57, 5417, , , Qualification, Dallas Regional, -1, -1
45, 118, 4063, 5775, 4364, 3676, 5411, , , Qualification, Dallas Regional, -1, -1
46, 3802, 5682, 2950, 3481, 3370, 3005, , , Qualification, Dallas Regional, -1, -1
47, 624, 2613, 4499, 4354, 3350, 148, , , Qualification, Dallas Regional, -1, -1
48, 4641, 457, 4192, 3355, 704, 4076, , , Qualification, Dallas Regional, -1, -1
49, 3310, 5786, 4300, 5212, 5411, 2848, , , Qualification, Dallas Regional, -1, -1
50, 118, 987, 1642, 5431, 3481, 4063, , , Qualification, Dallas Regional, -1, -1
51, 4354, 5057, 5417, 3676, 3005, 148, , , Qualification, Dallas Regional, -1, -1
52, 4045, 57, 3037, 457, 3350, 3355, , , Qualification, Dallas Regional, -1, -1
53, 2613, 4192, 647, 2950, 5775, 624, , , Qualification, Dallas Regional, -1, -1
54, 2468, 932, 3802, 2897, 5739, 4641, , , Qualification, Dallas Regional, -1, -1
55, 4076, 4364, 3282, 3735, 5242, 1477, , , Qualification, Dallas Regional, -1, -1
56, 3370, 4206, 5682, 4499, 704, 1296, , , Qualification, Dallas Regional, -1, -1
57, 624, 4063, 3355, 5417, 4300, 5212, , , Qualification, Dallas Regional, -1, -1
58, 3481, 4045, 932, 4354, 5431, 647, , , Qualification, Dallas Regional, -1, -1
59, 3350, 987, 3735, 5242, 118, 2950, , , Qualification, Dallas Regional, -1, -1
60, 5682, 4076, 1642, 2897, 2613, 3676, , , Qualification, Dallas Regional, -1, -1
61, 2848, 4641, 704, 57, 1296, 5739, , , Qualification, Dallas Regional, -1, -1
62, 5786, 5775, 4364, 457, 4206, 3005, , , Qualification, Dallas Regional, -1, -1
63, 1477, 148, 3037, 5411, 4192, 3802, , , Qualification, Dallas Regional, -1, -1
64, 3282, 3310, 4499, 3370, 5057, 2468, , , Qualification, Dallas Regional, -1, -1
65, 647, 2897, 5417, 57, 118, 2613, , , Qualification, Dallas Regional, -1, -1
66, 3676, 4206, 2950, 4063, 457, 4300, , , Qualification, Dallas Regional, -1, -1
67, 1477, 624, 1296, 932, 3005, 704, , , Qualification, Dallas Regional, -1, -1
68, 987, 4364, 3370, 3355, 3037, 5431, , , Qualification, Dallas Regional, -1, -1
69, 4641, 5682, 4354, 3735, 5411, 148, , , Qualification, Dallas Regional, -1, -1
70, 3481, 2848, 5786, 3282, 4192, 2468, , , Qualification, Dallas Regional, -1, -1
71, 5212, 3802, 5739, 4499, 3350, 1642, , , Qualification, Dallas Regional, -1, -1
72, 4076, 5057, 5242, 5775, 4045, 3310, , , Qualification, Dallas Regional, -1, -1
73, 2897, 3355, 57, 1477, 4063, 932, , , Qualification, Dallas Regional, -1, -1
74, 3282, 3005, 5417, 704, 4300, 987, , , Qualification, Dallas Regional, -1, -1
75, 3037, 2950, 647, 4499, 5739, 5682, , , Qualification, Dallas Regional, -1, -1
76, 5786, 3370, 5411, 3481, 2613, 3735, , , Qualification, Dallas Regional, -1, -1
77, 4354, 5242, 4206, 3310, 4641, 2468, , , Qualification, Dallas Regional, -1, -1
78, 3350, 1296, 5431, 5775, 4192, 3676, , , Qualification, Dallas Regional, -1, -1
79, 4045, 2848, 4076, 1642, 4364, 3802, , , Qualification, Dallas Regional, -1, -1
80, 457, 5212, 624, 5057, 118, 148, , , Qualification, Dallas Regional, -1, -1
81, 4641, 3355, 3005, 5411, 3282, 647, , , Qualification, Dallas Regional, -1, -1
82, 3350, 4300, 2897, 4354, 1477, 3481, , , Qualification, Dallas Regional, -1, -1
83, 5242, 3676, 5431, 5417, 704, 2613, , , Qualification, Dallas Regional, -1, -1
84, 3310, 3037, 5057, 2950, 57, 1642, , , Qualification, Dallas Regional, -1, -1
85, 4076, 3802, 457, 624, 2468, 987, , , Qualification, Dallas Regional, -1, -1
86, 5682, 148, 5212, 1296, 4364, 4206, , , Qualification, Dallas Regional, -1, -1
87, 118, 4499, 3735, 5775, 932, 2848, , , Qualification, Dallas Regional, -1, -1
88, 4063, 5739, 3370, 4045, 4192, 5786, , , Qualification, Dallas Regional, -1, -1
