Team Number, Team Name, Tournament
57, Leopards, Dallas Regional
118, Robonauts, Dallas Regional
148, Robowranglers, Dallas Regional
457, Grease Monkeys, Dallas Regional
624, CRyptonite, Dallas Regional
647, Cyberwolves , Dallas Regional
704, Warriors, Dallas Regional
932, Circuit Chargers, Dallas Regional
987, HIGHROLLERS, Dallas Regional
1296, Full Metal Jackets, Dallas Regional
1477, Texas Torque, Dallas Regional
1642, Techno-Cats, Dallas Regional
2468, Team Appreciate, Dallas Regional
2613, PROTOBOT, Dallas Regional
2848, The All Sparks, Dallas Regional
2897, Raven Robotics, Dallas Regional
2950, Devastators, Dallas Regional
3005, ROBOCHARGERS, Dallas Regional
3037, GLOBOTS, Dallas Regional
3282, Dallas Robo Tigers, Dallas Regional
3310, Black Hawk Robotics, Dallas Regional
3350, T-BOTS, Dallas Regional
3355, Skyhawks Robotics, Dallas Regional
3370, Aftershock, Dallas Regional
3481, Bronc Botz, Dallas Regional
3676, Warrior Robotics, Dallas Regional
3735, Klein Bots, Dallas Regional
3802, RoboPOP, Dallas Regional
4063, TriKzR4Kidz, Dallas Regional
4192, FMHS Robotics, Dallas Regional
4206, Robo Vikes, Dallas Regional
4301, New Tech Narcissists, Dallas Regional
4354, PengWINs, Dallas Regional
4364, Metal Jackets, Dallas Regional
4499, The Highlanders, Dallas Regional
4641, sHAWK n’ awe, Dallas Regional
5057, Robobusters, Dallas Regional
5212, TAMSformers Robotics , Dallas Regional
5242, RoboCats, Dallas Regional
4045, Toxic Drones, Dallas Regional
4076, CODE ’N’ Robotics, Dallas Regional
4300, The Lion Kings, Dallas Regional
5411, PowerEagle, Dallas Regional
5417, A-Team Eagle Robotics, Dallas Regional
5739, Hillcrest Pantherbotics, Dallas Regional
5431, Titan Robotics, Dallas Regional
5682, Equus Engineering, Dallas Regional
5775, CRHS Robots, Dallas Regional
5786, NHP Robotics, Dallas Regional
